72,dez-11,57.58,23.13,87.87,112.89,0.00,28.21,26.81,20.99,12.29,17.12,0.52,7.66
73,jan-12,204.31,46.51,140.30,179.76,0.00,45.37,13.14,2.60,77.92,12.68,11.12,529.24
74,fev-12,57.57,25.56,73.10,114.71,0.00,15.40,19.55,0.08,6.75,35.39,20.56,16.57
75,mar-12,87.90,47.57,102.11,161.91,0.00,54.65,280.61,0.62,10.37,23.39,27.36,28.63
76,abr-12,47.39,28.18,60.58,93.97,0.00,10.43,18.27,1.01,6.96,14.64,27.86,21.15
77,mai-12,41.81,35.59,73.77,141.01,0.00,11.30,28.74,0.95,15.38,70.60,58.19,30.78
78,jun-12,43.07,29.49,62.55,122.04,0.00,9.38,25.77,0.07,9.53,26.18,26.93,22.34
79,jul-12,42.32,32.00,43.14,96.34,0.00,12.12,18.60,2.57,50.89,23.05,37.04,20.25
80,ago-12,53.99,26.00,85.21,191.54,0.00,15.45,20.99,0.49,12.62,374.32,38.70,27.87
81,set-12,29.43,18.35,44.37,118.70,0.00,9.35,14.13,0.20,12.30,19.06,34.82,25.92
82,out-12,29.15,14.90,62.42,132.08,0.00,13.08,17.32,0.72,12.41,20.56,38.08,24.71
83,nov-12,23.93,17.52,46.50,115.96,0.00,13.68,19.98,0.80,15.95,66.91,55.89,32.15
84,dez-12,28.08,14.77,43.84,103.38,0.00,15.15,24.83,10.42,20.50,29.67,0.15,10.52
85,jan-13,183.38,35.67,101.05,268.84,0.00,41.66,852.39,16.41,28.20,53.43,2.68,74.83
86,fev-13,40.04,27.01,40.49,116.00,0.00,12.53,25.70,15.68,69.63,117.54,0.32,24.85
87,mar-13,49.72,63.67,46.81,96.97,0.00,13.11,22.71,132.49,36.74,79.66,1.10,18.92
88,abr-13,44.18,48.34,49.90,75.42,0.00,11.80,22.98,11.03,35.45,76.79,0.69,13.76
89,mai-13,36.19,27.99,33.30,77.02,0.00,14.78,19.66,14.25,97.44,58.62,0.20,10.17
90,jun-13,89.07,57.78,65.47,134.63,0.00,15.65,31.40,22.65,55.17,104.54,0.45,20.12
91,jul-13,74.65,56.13,46.09,82.21,0.00,11.44,23.51,18.02,29.21,49.00,2.63,60.62
92,ago-13,88.48,42.95,38.18,83.60,0.00,20.16,24.65,21.41,47.87,52.06,0.47,15.79
93,set-13,77.69,52.96,40.24,65.86,0.00,15.39,19.50,18.53,20.41,39.14,0.69,10.59
94,out-13,62.51,47.94,40.83,74.81,0.00,9.72,24.85,19.34,28.07,44.33,0.96,11.29
95,nov-13,100.19,50.05,50.26,95.28,0.00,18.11,21.25,20.67,66.24,42.60,0.23,8.59
96,dez-13,113.40,54.35,80.44,141.85,0.00,23.82,22.19,22.27,17.51,38.13,0.52,10.30
97,jan-14,244.22,86.55,98.62,192.95,0.00,43.58,365.97,24.28,22.70,45.55,2.57,161.91
98,fev-14,114.85,77.52,62.35,133.95,0.00,16.31,25.09,17.59,50.15,39.82,0.63,9.32
99,mar-14,114.66,101.75,74.95,146.91,0.00,19.31,16.43,106.40,17.53,24.38,0.03,5.85
